system:index,CO2 emissions (non-biogenic),Industry Type (sectors),Industry Type (subparts),LST_2020_10km,LST_2020_1km,LST_2020_5km,LST_2021_10km,LST_2021_1km,LST_2021_5km,LST_2022_10km,LST_2022_1km,LST_2022_5km,LST_2023_10km,LST_2023_1km,LST_2023_5km,LST_2024_10km,LST_2024_1km,LST_2024_5km,Latitude,Longitude,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Stationary Combustion,Total reported direct emissions,.geo
49,60149.7,Other,C,21.558055515281296,21.66252127659576,21.571309204429074,22.944152837635972,22.89967198581564,22.71381704957484,21.86536148318336,22.516755319148967,21.8376678373413,21.530376204974946,22.018498817966947,21.75946799343124,20.724629282238343,20.913342198581592,20.80587081117996,37.336111,-77.2825,28.5,34.27,60212.47,60212.47,"{""type"":""Point"",""coordinates"":[-77.2825,37.33611100000001]}"
50,1227197.4,"Chemicals,Suppliers of CO2","C,G,PP",21.237530479739902,21.05777499164162,21.188532784140406,22.60046387588156,22.20942828485459,22.498776106279387,21.590619740759,21.536479438314974,21.916985801352915,20.973794179298917,21.32047642928789,21.037557732234973,20.088133704012513,20.10867101303913,19.97593305873687,37.1815,-77.1621,263.25,313.794,559479.744,1227774.444,"{""type"":""Point"",""coordinates"":[-77.1621,37.1815]}"
51,3148488.5,Power Plants,C,30.827179575773872,30.98348864994029,31.561854505090547,31.15848292816506,31.077017124651572,31.747830964117643,30.079413952463536,30.129636001593017,30.38149202105441,29.20293742245758,29.341619445866783,29.64553001404424,29.030172099724087,29.017328554360848,29.37558553644538,17.945,-66.15027,8224.5,14264.366,3170977.366,3170977.366,"{""type"":""Point"",""coordinates"":[-66.15027,17.945]}"
52,1517499.2,Power Plants,"C,D",34.99641103131021,32.556767676767706,33.472095334718304,33.62036000261535,31.40074016022296,32.3097297131907,33.5380858373402,30.69274468826198,32.03699286254916,30.539504924189128,28.38531800766287,29.28756421405223,31.048369548889884,28.357171717171752,29.498118347102164,33.7688,-118.1009,703.75,838.87,5478.08,1519041.82,"{""type"":""Point"",""coordinates"":[-118.10090000000002,33.7688]}"
53,1274321.3,Power Plants,"C,D",32.674698137005144,31.138659043659075,31.375103224953765,31.40091121735883,29.88677754677759,30.320982950039674,31.667709794197183,31.05444906444908,30.37978730032855,28.762633713931166,27.534554747054784,27.619914895585545,28.546468316091612,26.873835758835806,27.12578905630455,33.6436,-117.9788,590.75,704.174,5264.48,1275616.224,"{""type"":""Point"",""coordinates"":[-117.97880000000004,33.643600000000006]}"
54,775115.5,"Power Plants,Suppliers of CO2","C,D,PP",20.195488481627955,20.809384268214075,20.309151425055077,20.86585989650628,22.51879271437786,21.309489474025156,21.029561642881934,21.983713733075458,20.604734842596226,20.58405568940231,21.843480012894933,20.890606684803753,21.26527329499278,22.266982269503586,21.57963931208708,39.5944,-78.7456,2303.5,4015.252,182.4,781434.252,"{""type"":""Point"",""coordinates"":[-78.7456,39.5944]}"
55,47063,Petroleum and Natural Gas Systems,C,27.062161983533557,26.364037834311848,27.46238995073894,24.150527029822992,22.74939823874758,24.25557737274222,24.955676484262845,24.42696183953037,25.161566397372773,24.406320136159003,23.57066536203526,24.427028965517273,25.85751401280521,25.228292563600817,25.97624728407227,38.60055,-90.1729,22.25,26.522,47111.772,47111.772,"{""type"":""Point"",""coordinates"":[-90.17290000000001,38.600550000000005]}"
56,5746.1,Power Plants,"C,D",18.357783533381138,17.061367292225228,17.68873811741667,17.453648124925376,14.854897229669387,16.43472469427727,18.420995360512578,16.51740393208225,17.71766882822207,19.472178780007194,17.535856206647114,18.650224064747736,18.576483935396116,16.694490616622005,17.985879866485167,44.7258,-75.4417,2.75,3.278,5752.128,5752.128,"{""type"":""Point"",""coordinates"":[-75.4417,44.7258]}"
57,23437.7,Other,C,24.681536210815192,24.904659333944416,24.631487200123463,25.312380378265406,25.81960586617784,25.434807874291206,22.92170702921758,22.93371157959061,22.92471967042949,22.227810573633448,21.54795294836544,22.00629803372857,23.079762315924697,23.2424188817599,23.099903644984053,43.10102,-94.65419,11,13.112,23461.812,23461.812,"{""type"":""Point"",""coordinates"":[-94.65419,43.10102]}"
58,70442.3,Other,C,25.12390716775673,25.70684308263699,25.001511573558904,25.578636189893455,26.06966883317861,25.583232916989058,23.082411779248833,24.384048282265578,23.31207451715016,23.56761145016874,23.667214484679697,23.378682889432973,23.227851812081763,23.30831631073973,23.147290631988415,42.669167,-93.904444,33.25,39.634,70515.184,70515.184,"{""type"":""Point"",""coordinates"":[-93.904444,42.669166999999995]}"
